from,to,lines,size
ACPI:,ACPI:,7094,185479
ACPI:,THE REST,7094,185479
ALIST:,ALIST:,1066,25513
ALIST:,THE REST,1066,25513
ANDROID AB,ANDROID AB,668,19877
ANDROID AB,THE REST,668,19877
ANDROID AVB,ANDROID AVB,9128,308163
ANDROID AVB,THE REST,9128,308163
APPLE M1 SOC SUPPORT,APPLE M1 SOC SUPPORT,3271,81258
APPLE M1 SOC SUPPORT,ARM,1823,43955
APPLE M1 SOC SUPPORT,NVMe,303,7629
APPLE M1 SOC SUPPORT,THE REST,3271,81258
APPLE M1 SOC SUPPORT,WATCHDOG,115,2236
ARC,ARC,7352,190515
ARC,THE REST,7352,190515
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,857,27786
ARC HSDK CGU CLOCK,CLOCK,779,25536
ARC HSDK CGU CLOCK,THE REST,857,27786
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,211,6062
ARC HSDK CREG GPIO,THE REST,211,6062
ARC HSDK RESET,ARC HSDK RESET,126,3058
ARC HSDK RESET,THE REST,126,3058
ARC SYNOPSYS DW MMC EXTENSIONS,ARC SYNOPSYS DW MMC EXTENSIONS,235,5636
ARC SYNOPSYS DW MMC EXTENSIONS,MMC,203,4658
ARC SYNOPSYS DW MMC EXTENSIONS,THE REST,235,5636
ARM,ARM,948823,26737651
ARM,ARM ALTERA SOCFPGA,12965,381910
ARM,ARM AMLOGIC SOC SUPPORT,2458,60346
ARM,ARM ASPEED,2059,56045
ARM,ARM BROADCOM BCM283X / BCM27XX,5357,125655
ARM,ARM BROADCOM BCMBCA,858,15614
ARM,ARM BROADCOM BCMSTB,122,2599
ARM,ARM FREESCALE IMX,220749,7674365
ARM,ARM HISILICON,1295,36673
ARM,ARM HPE GXP ARCHITECTURE,215,3862
ARM,ARM IPQ40XX,100,1714
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,12271,346180
ARM,ARM MARVELL PXA1908,307,6249
ARM,ARM MEDIATEK,1875,38729
ARM,ARM METHODE SUPPORT,368,6103
ARM,ARM MICROCHIP/ATMEL AT91,36538,999162
ARM,ARM MSC SM2S IMX8MP SOM,898,20915
ARM,ARM NEXELL S5P4418,4174,125659
ARM,ARM OWL,274,6542
ARM,ARM PHYTIUM,33,741
ARM,ARM RENESAS RMOBILE/R-CAR,3345,84884
ARM,ARM ROCKCHIP,52172,1122305
ARM,ARM SAMSUNG,19376,520211
ARM,ARM SANCLOUD,333,8867
ARM,ARM SC5XX,3378,93943
ARM,ARM SNAPDRAGON,1331,36617
ARM,ARM STI,113,3285
ARM,ARM STM STM32MP,17697,392300
ARM,ARM SUNXI,18276,552815
ARM,ARM TEGRA,63479,1675380
ARM,ARM TI,50882,1487846
ARM,ARM U8500,2043,51681
ARM,ARM UNIPHIER,15621,381321
ARM,ARM VERSAL,2060,42724
ARM,ARM VERSAL NET,772,15569
ARM,ARM VERSATILE EXPRESS DRIVERS,797,18990
ARM,ARM ZYNQ,30994,679324
ARM,ARM ZYNQMP,25541,579417
ARM,ARM ZYNQMP R5,66,1185
ARM,CAAM,29,277
ARM,EFI PAYLOAD,501,14013
ARM,MICROBLAZE,151,2514
ARM,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM,SEMIHOSTING,37,633
ARM,TARGET_BCMNS3,2658,63924
ARM,THE REST,948823,26737651
ARM,TI SYSTEM SECURITY,760,21924
ARM,XEN,233,6701
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,23728,692263
ARM ALTERA SOCFPGA,THE REST,23728,692263
ARM AMLOGIC SOC SUPPORT,ARM AMLOGIC SOC SUPPORT,75958,1870039
ARM AMLOGIC SOC SUPPORT,CLOCK,3945,101026
ARM AMLOGIC SOC SUPPORT,DEVICETREE REBASING SUBTREE,42533,894605
ARM AMLOGIC SOC SUPPORT,I2C,312,7421
ARM AMLOGIC SOC SUPPORT,MMC,432,11003
ARM AMLOGIC SOC SUPPORT,NETWORK,586,15924
ARM AMLOGIC SOC SUPPORT,POWER,966,23891
ARM AMLOGIC SOC SUPPORT,RAW NAND,1275,32172
ARM AMLOGIC SOC SUPPORT,RNG,190,3641
ARM AMLOGIC SOC SUPPORT,SPI,695,18514
ARM AMLOGIC SOC SUPPORT,THE REST,75958,1870039
ARM AMLOGIC SOC SUPPORT,USB,989,24117
ARM AMLOGIC SOC SUPPORT,VIDEO,6182,187518
ARM AMLOGIC SOC SUPPORT,WATCHDOG,133,3077
ARM ASPEED,ARM ASPEED,88767,2168611
ARM ASPEED,ARM SNAPDRAGON,190,3515
ARM ASPEED,ASPEED FMC SPI DRIVER,1214,32946
ARM ASPEED,CLOCK,1801,45009
ARM ASPEED,DEVICETREE REBASING SUBTREE,66072,1269444
ARM ASPEED,I2C,494,12252
ARM ASPEED,MMC,128,2626
ARM ASPEED,NETWORK,1118,31222
ARM ASPEED,SPI,1214,32946
ARM ASPEED,THE REST,88767,2168611
ARM ASPEED,WATCHDOG,129,2950
ARM BROADCOM BCM283X / BCM27XX,ARM BROADCOM BCM283X / BCM27XX,10462,269411
ARM BROADCOM BCM283X / BCM27XX,DRIVER MODEL,23,413
ARM BROADCOM BCM283X / BCM27XX,MMC,1077,28605
ARM BROADCOM BCM283X / BCM27XX,THE REST,10462,269411
ARM BROADCOM BCM283X / BCM27XX,VIDEO,81,1965
ARM BROADCOM BCMBCA,ARM BROADCOM BCMBCA,7969,163646
ARM BROADCOM BCMBCA,DEVICETREE REBASING SUBTREE,5489,109504
ARM BROADCOM BCMBCA,RAW NAND,152,3867
ARM BROADCOM BCMBCA,SPI,409,11091
ARM BROADCOM BCMBCA,THE REST,7969,163646
ARM BROADCOM BCMSTB,ARM BROADCOM BCMSTB,981,24458
ARM BROADCOM BCMSTB,MMC,160,4366
ARM BROADCOM BCMSTB,SPI,440,11313
ARM BROADCOM BCMSTB,THE REST,981,24458
ARM CORTINA ACCESS CAxxxx,ARM CORTINA ACCESS CAxxxx,5246,142108
ARM CORTINA ACCESS CAxxxx,I2C,434,9044
ARM CORTINA ACCESS CAxxxx,MIPS CORTINA ACCESS CAxxxx,3518,94933
ARM CORTINA ACCESS CAxxxx,MMC,173,4030
ARM CORTINA ACCESS CAxxxx,NETWORK,1628,49837
ARM CORTINA ACCESS CAxxxx,RAW NAND,1683,46014
ARM CORTINA ACCESS CAxxxx,SPI,577,15437
ARM CORTINA ACCESS CAxxxx,THE REST,5246,142108
ARM CORTINA ACCESS CAxxxx,WATCHDOG,138,2933
ARM FF-A,ARM FF-A,3305,89347
ARM FF-A,DRIVER MODEL,258,7098
ARM FF-A,SANDBOX,193,5713
ARM FF-A,THE REST,3305,89347
ARM FREESCALE IMX,ARM FREESCALE IMX,272221,8869272
ARM FREESCALE IMX,ARM MSC SM2S IMX8MP SOM,898,20915
ARM FREESCALE IMX,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM FREESCALE IMX,THE REST,272221,8869272
ARM HISILICON,ARM HISILICON,1295,36673
ARM HISILICON,THE REST,1295,36673
ARM HPE GXP ARCHITECTURE,ARM HPE GXP ARCHITECTURE,830,17398
ARM HPE GXP ARCHITECTURE,SPI,304,7215
ARM HPE GXP ARCHITECTURE,THE REST,830,17398
ARM IPQ40XX,ARM IPQ40XX,1735,46414
ARM IPQ40XX,ARM SNAPDRAGON,526,17851
ARM IPQ40XX,CLOCK,176,5449
ARM IPQ40XX,NETWORK,145,3533
ARM IPQ40XX,RNG,162,3487
ARM IPQ40XX,SPI,802,19829
ARM IPQ40XX,THE REST,1735,46414
ARM LAYERSCAPE SFP,ARM LAYERSCAPE SFP,348,8040
ARM LAYERSCAPE SFP,THE REST,348,8040
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,79012,2366257
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,CLOCK,800,18113
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,I2C,961,28900
