from,to,lines,size
ACPI:,ACPI:,3217,79001
ACPI:,THE REST,3217,79001
ANDROID AB,ANDROID AB,257,8358
ANDROID AB,THE REST,257,8358
ANDROID AVB,ANDROID AVB,9060,305742
ANDROID AVB,THE REST,9060,305742
APPLE M1 SOC SUPPORT,APPLE M1 SOC SUPPORT,2862,71470
APPLE M1 SOC SUPPORT,ARM,1404,33964
APPLE M1 SOC SUPPORT,NVMe,304,7649
APPLE M1 SOC SUPPORT,THE REST,2862,71470
APPLE M1 SOC SUPPORT,WATCHDOG,115,2236
ARC,ARC,7382,190864
ARC,THE REST,7382,190864
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,858,27806
ARC HSDK CGU CLOCK,CLOCK,780,25556
ARC HSDK CGU CLOCK,THE REST,858,27806
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,212,6082
ARC HSDK CREG GPIO,THE REST,212,6082
ARC HSDK RESET,ARC HSDK RESET,127,3078
ARC HSDK RESET,THE REST,127,3078
ARC SYNOPSYS DW MMC EXTENSIONS,ARC SYNOPSYS DW MMC EXTENSIONS,232,5475
ARC SYNOPSYS DW MMC EXTENSIONS,MMC,200,4497
ARC SYNOPSYS DW MMC EXTENSIONS,THE REST,232,5475
ARM,ARM,1090982,29426346
ARM,ARM ALTERA SOCFPGA,11664,340637
ARM,ARM AMLOGIC SOC SUPPORT,25758,545729
ARM,ARM ASPEED,2063,56056
ARM,ARM BROADCOM BCM283X / BCM27XX,4765,103162
ARM,ARM BROADCOM BCMBCA,3696,72865
ARM,ARM BROADCOM BCMSTB,122,2599
ARM,ARM FREESCALE IMX,235726,8002100
ARM,ARM HISILICON,1301,36736
ARM,ARM HPE GXP ARCHITECTURE,215,3862
ARM,ARM IPQ40XX,372,8587
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,12100,341782
ARM,ARM MEDIATEK,1474,29665
ARM,ARM METHODE SUPPORT,318,5172
ARM,ARM MICROCHIP/ATMEL AT91,36527,1001318
ARM,ARM MSC SM2S IMX8MP SOM,885,20795
ARM,ARM NEXELL S5P4418,4148,124990
ARM,ARM OWL,275,6562
ARM,ARM PHYTIUM,33,741
ARM,ARM RENESAS RMOBILE/R-CAR,7129,205642
ARM,ARM ROCKCHIP,112726,2430230
ARM,ARM SAMSUNG,19336,519409
ARM,ARM SANCLOUD,333,8864
ARM,ARM SNAPDRAGON,2005,50636
ARM,ARM STI,113,3285
ARM,ARM STM STM32MP,33142,752161
ARM,ARM STM STV0991,720,20999
ARM,ARM SUNXI,18409,559916
ARM,ARM TEGRA,28484,791707
ARM,ARM TI,48460,1377094
ARM,ARM U8500,2044,51701
ARM,ARM UNIPHIER,15632,381544
ARM,ARM VERSAL,1449,30444
ARM,ARM VERSAL NET,632,13327
ARM,ARM VERSATILE EXPRESS DRIVERS,795,18959
ARM,ARM ZYNQ,28305,622967
ARM,ARM ZYNQMP,23932,540944
ARM,ARM ZYNQMP R5,73,1383
ARM,CAAM,29,277
ARM,EFI PAYLOAD,588,15021
ARM,MICROBLAZE,148,2477
ARM,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM,SEMIHOSTING,31,486
ARM,TARGET_BCMNS3,2553,61075
ARM,THE REST,1090982,29426346
ARM,TI SYSTEM SECURITY,760,21890
ARM,XEN,233,6701
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,11750,342585
ARM ALTERA SOCFPGA,THE REST,11750,342585
ARM AMLOGIC SOC SUPPORT,ARM AMLOGIC SOC SUPPORT,55441,1421489
ARM AMLOGIC SOC SUPPORT,CLOCK,3264,81714
ARM AMLOGIC SOC SUPPORT,I2C,313,7441
ARM AMLOGIC SOC SUPPORT,MMC,433,11014
ARM AMLOGIC SOC SUPPORT,NETWORK,450,12519
