from,to,lines,size
ACPI:,ACPI:,3185,78402
ACPI:,THE REST,3185,78402
ANDROID AB,ANDROID AB,238,7736
ANDROID AB,THE REST,238,7736
ANDROID AVB,ANDROID AVB,9060,305738
ANDROID AVB,THE REST,9060,305738
APPLE M1 SOC SUPPORT,APPLE M1 SOC SUPPORT,2474,62513
APPLE M1 SOC SUPPORT,ARM,1118,27248
APPLE M1 SOC SUPPORT,NVMe,304,7649
APPLE M1 SOC SUPPORT,THE REST,2474,62513
APPLE M1 SOC SUPPORT,WATCHDOG,115,2236
ARC,ARC,7384,191021
ARC,THE REST,7384,191021
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,857,27804
ARC HSDK CGU CLOCK,CLOCK,779,25554
ARC HSDK CGU CLOCK,THE REST,857,27804
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,212,6082
ARC HSDK CREG GPIO,THE REST,212,6082
ARC HSDK RESET,ARC HSDK RESET,127,3078
ARC HSDK RESET,THE REST,127,3078
ARC SYNOPSYS DW MMC EXTENSIONS,ARC SYNOPSYS DW MMC EXTENSIONS,232,5475
ARC SYNOPSYS DW MMC EXTENSIONS,MMC,200,4497
ARC SYNOPSYS DW MMC EXTENSIONS,THE REST,232,5475
ARM,ARM,1032732,28065830
ARM,ARM ALTERA SOCFPGA,11660,340552
ARM,ARM AMLOGIC SOC SUPPORT,22566,481275
ARM,ARM ASPEED,2063,56056
ARM,ARM BROADCOM BCM283X / BCM27XX,4757,103097
ARM,ARM BROADCOM BCMBCA,3696,72946
ARM,ARM BROADCOM BCMSTB,122,2599
ARM,ARM FREESCALE IMX,229162,7866113
ARM,ARM HISILICON,1196,34743
ARM,ARM HPE GXP ARCHITECTURE,214,3867
ARM,ARM IPQ40XX,372,8587
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,12016,339047
ARM,ARM MEDIATEK,1343,27170
ARM,ARM METHODE SUPPORT,318,5226
ARM,ARM MICROCHIP/ATMEL AT91,10752,318934
ARM,ARM MSC SM2S IMX8MP SOM,885,20782
ARM,ARM NEXELL S5P4418,4155,125119
ARM,ARM OWL,275,6562
ARM,ARM PHYTIUM,33,741
ARM,ARM RENESAS RMOBILE/R-CAR,6660,194858
ARM,ARM ROCKCHIP,92417,1993211
ARM,ARM SAMSUNG,19336,519408
ARM,ARM SANCLOUD,333,8944
ARM,ARM SNAPDRAGON,2002,50600
ARM,ARM STI,113,3285
ARM,ARM STM STM32MP,30433,690506
ARM,ARM STM STV0991,720,20999
ARM,ARM SUNXI,18206,553816
ARM,ARM TEGRA,28029,778096
ARM,ARM TI,49167,1400020
ARM,ARM U8500,2044,51701
ARM,ARM UNIPHIER,15376,369546
ARM,ARM VERSAL,1163,24789
ARM,ARM VERSAL NET,349,7729
ARM,ARM VERSATILE EXPRESS DRIVERS,795,18959
ARM,ARM ZYNQ,22254,476842
ARM,ARM ZYNQMP,17916,394936
ARM,ARM ZYNQMP R5,73,1383
ARM,CAAM,29,280
ARM,EFI PAYLOAD,588,15021
ARM,MICROBLAZE,138,2292
ARM,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM,SEMIHOSTING,47,1273
ARM,TARGET_BCMNS3,2523,60454
ARM,THE REST,1032732,28065830
ARM,TI SYSTEM SECURITY,790,23204
ARM,XEN,233,6701
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,11746,342500
ARM ALTERA SOCFPGA,THE REST,11746,342500
ARM AMLOGIC SOC SUPPORT,ARM AMLOGIC SOC SUPPORT,48236,1226173
ARM AMLOGIC SOC SUPPORT,CLOCK,2526,63553
ARM AMLOGIC SOC SUPPORT,I2C,313,7441
ARM AMLOGIC SOC SUPPORT,MMC,433,11014
ARM AMLOGIC SOC SUPPORT,NETWORK,457,12650
ARM AMLOGIC SOC SUPPORT,POWER,797,20177
ARM AMLOGIC SOC SUPPORT,RNG,121,2204
ARM AMLOGIC SOC SUPPORT,SPI,322,8140
ARM AMLOGIC SOC SUPPORT,THE REST,48236,1226173
ARM AMLOGIC SOC SUPPORT,USB,933,22403
