from,to,lines,size
ANDROID AB,ANDROID AB,543,16643
ANDROID AB,THE REST,543,16643
ANDROID AVB,ANDROID AVB,9057,305783
ANDROID AVB,THE REST,9057,305783
ARC,ARC,7427,191987
ARC,THE REST,7427,191987
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,857,27804
ARC HSDK CGU CLOCK,CLOCK,779,25554
ARC HSDK CGU CLOCK,THE REST,857,27804
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,212,6082
ARC HSDK CREG GPIO,THE REST,212,6082
ARC HSDK RESET,ARC HSDK RESET,135,3237
ARC HSDK RESET,THE REST,135,3237
ARC SYNOPSYS DW MMC EXTENSIONS,ARC SYNOPSYS DW MMC EXTENSIONS,233,5476
ARC SYNOPSYS DW MMC EXTENSIONS,MMC,200,4497
ARC SYNOPSYS DW MMC EXTENSIONS,THE REST,233,5476
ARM,ARM,853502,23602150
ARM,ARM ALTERA SOCFPGA,10992,323583
ARM,ARM AMLOGIC SOC SUPPORT,19431,419086
ARM,ARM ASPEED,1937,53722
ARM,ARM BROADCOM BCM283X / BCM27XX,4467,97125
ARM,ARM BROADCOM BCMSTB,122,2599
ARM,ARM FREESCALE IMX,167785,6069735
ARM,ARM HISILICON,1198,34745
ARM,ARM IPQ40XX,343,8048
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,11047,314801
ARM,ARM MARVELL PXA,4125,153701
ARM,ARM MEDIATEK,1126,22143
ARM,ARM MICROCHIP/ATMEL AT91,10762,319434
ARM,ARM NEXELL S5P4418,4067,123643
ARM,ARM OWL,275,6569
ARM,ARM PHYTIUM,33,741
ARM,ARM RENESAS RMOBILE/R-CAR,10556,318006
ARM,ARM ROCKCHIP,16751,403109
ARM,ARM SAMSUNG,19210,516706
ARM,ARM SNAPDRAGON,1060,25117
ARM,ARM STI,113,3284
ARM,ARM STM SPEAR,2424,50819
ARM,ARM STM STM32MP,24694,560933
ARM,ARM STM STV0991,722,21053
ARM,ARM SUNXI,17912,544294
ARM,ARM TEGRA,27231,759162
ARM,ARM TI,34417,940643
ARM,ARM U8500,1891,47309
ARM,ARM UNIPHIER,15225,367460
ARM,ARM VERSAL,612,13183
ARM,ARM ZYNQ,16934,366616
ARM,ARM ZYNQMP,12546,283365
ARM,ARM ZYNQMP R5,67,1262
ARM,ARM/CZ.NIC TURRIS MOX SUPPORT,177,3238
ARM,MICROBLAZE,117,1983
ARM,TARGET_BCMNS3,2242,52849
ARM,THE REST,853502,23602150
ARM,TI SYSTEM SECURITY,741,21794
ARM,XEN,235,6703
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,11078,325515
ARM ALTERA SOCFPGA,THE REST,11078,325515
ARM AMLOGIC SOC SUPPORT,ARM AMLOGIC SOC SUPPORT,43777,1121376
ARM AMLOGIC SOC SUPPORT,CLOCK,2437,61737
ARM AMLOGIC SOC SUPPORT,I2C,313,7441
ARM AMLOGIC SOC SUPPORT,MMC,433,11014
ARM AMLOGIC SOC SUPPORT,NETWORK,441,12055
ARM AMLOGIC SOC SUPPORT,POWER,821,20641
ARM AMLOGIC SOC SUPPORT,RNG,121,2214
ARM AMLOGIC SOC SUPPORT,SPI,322,8140
ARM AMLOGIC SOC SUPPORT,THE REST,43777,1121376
ARM AMLOGIC SOC SUPPORT,USB,896,21202
ARM AMLOGIC SOC SUPPORT,VIDEO,6185,187577
ARM ASPEED,ARM ASPEED,5588,146903
ARM ASPEED,CLOCK,1712,42772
ARM ASPEED,MMC,91,1782
ARM ASPEED,THE REST,5588,146903
ARM BROADCOM BCM283X / BCM27XX,ARM BROADCOM BCM283X / BCM27XX,7449,170222
ARM BROADCOM BCM283X / BCM27XX,DRIVER MODEL,23,413
ARM BROADCOM BCM283X / BCM27XX,MMC,1068,28257
ARM BROADCOM BCM283X / BCM27XX,THE REST,7449,170222
ARM BROADCOM BCM283X / BCM27XX,VIDEO,65,1648
ARM BROADCOM BCMSTB,ARM BROADCOM BCMSTB,1052,25971
ARM BROADCOM BCMSTB,MMC,105,2866
ARM BROADCOM BCMSTB,SPI,440,11313
ARM BROADCOM BCMSTB,THE REST,1052,25971
ARM CORTINA ACCESS CAxxxx,ARM CORTINA ACCESS CAxxxx,5259,142361
ARM CORTINA ACCESS CAxxxx,I2C,434,9046
ARM CORTINA ACCESS CAxxxx,MIPS CORTINA ACCESS CAxxxx,3543,95510
ARM CORTINA ACCESS CAxxxx,MMC,174,4068
ARM CORTINA ACCESS CAxxxx,NAND FLASH,1683,46050
ARM CORTINA ACCESS CAxxxx,NETWORK,1637,50021
ARM CORTINA ACCESS CAxxxx,SPI,577,15427
ARM CORTINA ACCESS CAxxxx,THE REST,5259,142361
ARM FREESCALE IMX,ARM FREESCALE IMX,189748,6568672
ARM FREESCALE IMX,THE REST,189748,6568672
ARM HISILICON,ARM HISILICON,1198,34745
ARM HISILICON,THE REST,1198,34745
ARM IPQ40XX,ARM IPQ40XX,1941,49054
ARM IPQ40XX,NETWORK,146,3553
ARM IPQ40XX,RNG,143,3100
ARM IPQ40XX,SPI,803,19844
ARM IPQ40XX,THE REST,1941,49054
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,47443,1412944
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,SPI,302,7399
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,THE REST,47443,1412944
ARM MARVELL PXA,ARM MARVELL PXA,4125,153701
ARM MARVELL PXA,THE REST,4125,153701
ARM MEDIATEK,ARM MEDIATEK,27092,755363
ARM MEDIATEK,CLOCK,7304,201452
ARM MEDIATEK,MIPS,264,3627
ARM MEDIATEK,MMC,1810,45872
ARM MEDIATEK,NETWORK,1568,38865
ARM MEDIATEK,POWER,415,9606
ARM MEDIATEK,SPI,318,7172
ARM MEDIATEK,THE REST,27092,755363
ARM MEDIATEK,USB,4880,123704
ARM MEDIATEK,USB xHCI,322,7514
ARM MICROCHIP/ATMEL AT91,ARM MICROCHIP/ATMEL AT91,16085,450831
ARM MICROCHIP/ATMEL AT91,THE REST,16085,450831
ARM NEXELL S5P4418,ARM NEXELL S5P4418,17235,498700
ARM NEXELL S5P4418,I2C,627,14556
ARM NEXELL S5P4418,THE REST,17235,498700
ARM NEXELL S5P4418,VIDEO,9640,299489
ARM OWL,ARM OWL,846,21679
ARM OWL,CLOCK,242,6031
ARM OWL,THE REST,846,21679
ARM PHYTIUM,ARM PHYTIUM,233,6092
ARM PHYTIUM,THE REST,233,6092
ARM RENESAS RMOBILE/R-CAR,ARM RENESAS RMOBILE/R-CAR,10556,318006
ARM RENESAS RMOBILE/R-CAR,THE REST,10556,318006
ARM ROCKCHIP,ARM ROCKCHIP,50091,1311659
ARM ROCKCHIP,CLOCK,10191,266670
ARM ROCKCHIP,MMC,301,7564
ARM ROCKCHIP,THE REST,50091,1311659
ARM ROCKCHIP,VIDEO,3412,88170
ARM SAMSUNG,ARM SAMSUNG,19210,516706
ARM SAMSUNG,THE REST,19210,516706
ARM SNAPDRAGON,ARM SNAPDRAGON,2852,71060
ARM SNAPDRAGON,MMC,214,5316
ARM SNAPDRAGON,THE REST,2852,71060
ARM SNAPDRAGON,USB,150,3317
ARM STI,ARM STI,1964,50456
ARM STI,MMC,150,3726
ARM STI,THE REST,1964,50456
ARM STI,USB,253,6288
ARM STM SPEAR,ARM STM SPEAR,2424,50819
ARM STM SPEAR,THE REST,2424,50819
ARM STM STM32MP,ARM STM STM32MP,58367,1420483
ARM STM STM32MP,CLOCK,3929,102885
ARM STM STM32MP,COLDFIRE,132,1751
ARM STM STM32MP,I2C,960,23895
ARM STM STM32MP,MMC,726,20316
ARM STM STM32MP,NAND FLASH,1048,27862
ARM STM STM32MP,POWER,1114,26329
ARM STM STM32MP,RNG,165,3204
ARM STM STM32MP,SPI,1176,27753
ARM STM STM32MP,THE REST,58367,1420483
ARM STM STM32MP,UBI,2053,49931
ARM STM STM32MP,VIDEO,1061,30167
ARM STM STV0991,ARM STM STV0991,722,21053
ARM STM STV0991,THE REST,722,21053
ARM SUNXI,ARM SUNXI,20140,608659
ARM SUNXI,THE REST,20140,608659
ARM TEGRA,ARM TEGRA,27231,759162
ARM TEGRA,THE REST,27231,759162
ARM TI,ARM TI,67749,2011361
ARM TI,THE REST,67749,2011361
ARM TI,TI SYSTEM SECURITY,741,21794
ARM U8500,ARM U8500,2004,50293
ARM U8500,THE REST,2004,50293
ARM UNIPHIER,ARM UNIPHIER,20757,532763
ARM UNIPHIER,CLOCK,585,15385
ARM UNIPHIER,I2C,550,13625
ARM UNIPHIER,MMC,90,2008
ARM UNIPHIER,SPI,419,10716
ARM UNIPHIER,THE REST,20757,532763
ARM UNIPHIER,USB,120,2839
ARM VERSAL,ARM VERSAL,2649,61404
ARM VERSAL,CLOCK,749,16415
ARM VERSAL,FPGA,55,1246
ARM VERSAL,MICROBLAZE,1048,25824
ARM VERSAL,THE REST,2649,61404
ARM VERSATILE EXPRESS DRIVERS,ARM VERSATILE EXPRESS DRIVERS,1224,34344
ARM VERSATILE EXPRESS DRIVERS,CLOCK,112,2522
ARM VERSATILE EXPRESS DRIVERS,THE REST,1224,34344
ARM ZYNQ,ARM ZYNQ,122679,4709361
ARM ZYNQ,ARM ZYNQMP,45611,1477435
ARM ZYNQ,ARM ZYNQMP R5,67,1262
ARM ZYNQ,CLOCK,1358,34565
ARM ZYNQ,FPGA,889,22162
ARM ZYNQ,I2C,693,17505
ARM ZYNQ,MICROBLAZE,92263,3969778
ARM ZYNQ,MMC,664,17711
ARM ZYNQ,NAND FLASH,1299,36794
ARM ZYNQ,NETWORK,994,26298
ARM ZYNQ,SPI,1761,45368
ARM ZYNQ,THE REST,122679,4709361
ARM ZYNQ,USB,91,2199
ARM ZYNQMP,ARM ZYNQMP,46074,1489191
ARM ZYNQMP,ARM ZYNQMP R5,67,1262
ARM ZYNQMP,CLOCK,857,22646
ARM ZYNQMP,FPGA,889,22162
ARM ZYNQMP,I2C,693,17505
ARM ZYNQMP,MICROBLAZE,22262,908857
ARM ZYNQMP,MMC,664,17711
ARM ZYNQMP,NAND FLASH,1299,36794
ARM ZYNQMP,NETWORK,994,26298
ARM ZYNQMP,SPI,1761,45368
ARM ZYNQMP,THE REST,46074,1489191
ARM ZYNQMP,USB,91,2199
ARM ZYNQMP,VIDEO,327,8546
ARM ZYNQMP R5,ARM ZYNQMP R5,67,1262
ARM ZYNQMP R5,THE REST,67,1262
ARM/CZ.NIC TURRIS MOX SUPPORT,ARM/CZ.NIC TURRIS MOX SUPPORT,2092,47194
ARM/CZ.NIC TURRIS MOX SUPPORT,THE REST,2092,47194
BINMAN,BINMAN,20979,697826
BINMAN,THE REST,20979,697826
BTRFS,BTRFS,9547,258384
BTRFS,THE REST,9547,258384
BUILDMAN,BUILDMAN,13546,525390
BUILDMAN,THE REST,13546,525390
CFI FLASH,CFI FLASH,3023,77296
CFI FLASH,THE REST,3023,77296
CLOCK,CLOCK,59640,1601897
CLOCK,MIPS MEDIATEK,321,6866
CLOCK,POWERPC MPC83XX,807,20733
CLOCK,RISC-V KENDRYTE,1555,39779
CLOCK,THE REST,59640,1601897
COLDFIRE,COLDFIRE,25592,724806
COLDFIRE,THE REST,25592,724806
DFU,DFU,36630,944822
DFU,ROCKUSB,934,24228
DFU,THE REST,36630,944822
DFU,USB,30786,799201
DRIVER MODEL,DRIVER MODEL,33460,925683
DRIVER MODEL,THE REST,33460,925683
EFI PAYLOAD,EFI PAYLOAD,51959,1462494
EFI PAYLOAD,EFI VARIABLES VIA OP-TEE,745,20196
