from,to,lines,size
ACPI & POWER MANAGEMENT,ACPI & POWER MANAGEMENT,12106,336044
ACPI & POWER MANAGEMENT,THE REST,12106,336044
AMD IOMMU,AMD IOMMU,3737,121824
AMD IOMMU,THE REST,3737,121824
AMD SVM,AMD SVM,3320,95874
AMD SVM,THE REST,3320,95874
CPU POOLS,CPU POOLS,665,16336
CPU POOLS,THE REST,665,16336
GDBSX DEBUGGER,GDBSX DEBUGGER,2895,77861
GDBSX DEBUGGER,THE REST,2895,77861
GDBSX DEBUGGER,TOOLSTACK,2630,69948
GDBSX DEBUGGER,X86 ARCHITECTURE,265,7913
IA64 ARCHITECTURE,IA64 ARCHITECTURE,11389,361717
IA64 ARCHITECTURE,THE REST,11389,361717
IA64 ARCHITECTURE,TOOLSTACK,3785,116245
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),654,21216
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,654,21216
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,654,21216
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),6826,202215
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,6826,202215
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),6904,218455
INTEL(R) VT FOR X86 (VT-X),THE REST,6904,218455
INTEL(R) VT FOR X86 (VT-X),X86 MEMORY MANAGEMENT,906,26680
KDD DEBUGGER,KDD DEBUGGER,2212,68058
KDD DEBUGGER,THE REST,2212,68058
KDD DEBUGGER,TOOLSTACK,2212,68058
LINUX (PV_OPS),LINUX (PV_OPS),0,0
LINUX (XCP),LINUX (XCP),0,0
MACHINE CHECK (MCA) & RAS,MACHINE CHECK (MCA) & RAS,5470,160236
MACHINE CHECK (MCA) & RAS,THE REST,5470,160236
MINI-OS,MINI-OS,24951,677486
MINI-OS,THE REST,24951,677486
QEMU-DM,QEMU-DM,0,0
REMUS,REMUS,5716,153887
REMUS,THE REST,5716,153887
REMUS,TOOLSTACK,5716,153887
SCHEDULING,SCHEDULING,7476,216157
SCHEDULING,THE REST,7476,216157
STUB DOMAINS,STUB DOMAINS,11599,343206
STUB DOMAINS,THE REST,11599,343206
THE REST,THE REST,880569,27433370
THE REST,TOOLSTACK,410173,12453712
THE REST,TRANSCENDENT MEMORY (TMEM),4817,159776
THE REST,X86 ARCHITECTURE,49426,1470759
THE REST,X86 MEMORY MANAGEMENT,18460,612153
THE REST,XENTRACE,3560,111580
TOOLSTACK,TOOLSTACK,410173,12453712
TOOLSTACK,XENTRACE,2789,90304
TRANSCENDENT MEMORY (TMEM),TRANSCENDENT MEMORY (TMEM),4817,159776
USB PV DRIVERS,USB PV DRIVERS,0,0
X86 ARCHITECTURE,X86 ARCHITECTURE,49426,1470759
X86 MEMORY MANAGEMENT,X86 MEMORY MANAGEMENT,18460,612153
XENTRACE,XENTRACE,3560,111580
