"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",7444
"ARGO","ARGO",2666
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",74104
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",7819
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",3172
"Change Log","Change Log",36
"Continuous Integration (CI)","Continuous Integration (CI)",2072
"DEVICE TREE","DEVICE TREE",6865
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",7555
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",4480
"KCONFIG","KCONFIG",21410
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8074
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","ARINC653 SCHEDULER",827
"SCHEDULING","CPU POOLS",1027
"SCHEDULING","RTDS SCHEDULER",1559
"SCHEDULING","SCHEDULING",14996
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",34094
"STUB DOMAINS","VTPM",12797
"TOOLSTACK","GDBSX DEBUGGER",2826
"TOOLSTACK","GOLANG BINDINGS",7995
"TOOLSTACK","KDD DEBUGGER",2559
"TOOLSTACK","LIBXENLIGHT",88261
"TOOLSTACK","OCAML TOOLS",12826
"TOOLSTACK","PYTHON BINDINGS",6203
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",332345
"TOOLSTACK","XENTRACE",15374
"TOOLSTACK","XSM/FLASK",16918
"VPCI","VPCI",2168
"X86 ARCHITECTURE","ACPI",21488
"X86 ARCHITECTURE","AMD SVM",6416
"X86 ARCHITECTURE","EFI",6926
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",718
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",14341
"X86 ARCHITECTURE","KEXEC",411
"X86 ARCHITECTURE","POWER MANAGEMENT",5744
"X86 ARCHITECTURE","VM EVENT, MEM ACCESS and MONITOR",5529
"X86 ARCHITECTURE","X86 ARCHITECTURE",251132
"X86 ARCHITECTURE","X86 I/O EMULATION",6150
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",24399
"X86 ARCHITECTURE","X86 MEMORY PAGING",500
"X86 ARCHITECTURE","X86 MEMORY SHARING",2434
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10668
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",3836
