"c_representative","c_section","c_size"
"ANDROID AB","ANDROID AB",542
"ANDROID AVB","ANDROID AVB",9057
"ARC","ARC",7421
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",212
"ARC HSDK RESET","ARC HSDK RESET",135
"ARM","ARM",808878
"ARM","ARM ALTERA SOCFPGA",10333
"ARM","ARM AMLOGIC SOC SUPPORT",40543
"ARM","ARM FREESCALE IMX",164862
"ARM","ARM HISILICON",1198
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",47526
"ARM","ARM MARVELL PXA",4125
"ARM","ARM MICROCHIP/ATMEL AT91",15950
"ARM","ARM PHYTIUM",232
"ARM","ARM RENESAS RMOBILE/R-CAR",10460
"ARM","ARM SAMSUNG",19209
"ARM","ARM SNAPDRAGON",2848
"ARM","ARM STM SPEAR",2422
"ARM","ARM STM STM32MP",55555
"ARM","ARM STM STV0991",721
"ARM","ARM SUNXI",18469
"ARM","ARM TEGRA",27228
"ARM","ARM TI",68505
"ARM","ARM U8500",2004
"ARM","ARM UNIPHIER",20755
"ARM","ARM VERSATILE EXPRESS DRIVERS",3945
"ARM","ARM/CZ.NIC TURRIS MOX SUPPORT",2084
"ARM","COLDFIRE",25568
"ARM","POWER",21937
"ARM","TARGET_BCMNS3",3831
"ARM","TI SYSTEM SECURITY",2372
"ARM","UBI",16469
"ARM","XEN",7048
"ARM ZYNQ","ARM ZYNQ",118331
"ARM ZYNQ","ARM ZYNQMP",41444
"ARM ZYNQ","ARM ZYNQMP R5",66
"ARM ZYNQ","FPGA",9755
"ARM ZYNQ","MICROBLAZE",97290
"ARM ZYNQ","NAND FLASH",41228
"BINMAN","BINMAN",19417
"BTRFS","BTRFS",9547
"BUILDMAN","BUILDMAN",13495
"CFI FLASH","CFI FLASH",2993
"CLOCK","ARC HSDK CGU CLOCK",857
"CLOCK","ARM ASPEED",2170
"CLOCK","ARM MEDIATEK",25625
"CLOCK","ARM OWL",845
"CLOCK","ARM ROCKCHIP",49954
"CLOCK","ARM VERSAL",2633
"CLOCK","CLOCK",55088
"CLOCK","RISC-V KENDRYTE",1818
"EFI PAYLOAD","EFI PAYLOAD",45766
"EFI PAYLOAD","EFI VARIABLES VIA OP-TEE",996
"ENVIRONMENT","ENVIRONMENT",7236
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",7161
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",279
"LOGGING","LOGGING",3158
"MMC","ARC SYNOPSYS DW MMC EXTENSIONS",233
"MMC","ARM BROADCOM BCM283X",6984
"MMC","ARM STI",1956
"MMC","DRIVER MODEL",35467
"MMC","MMC",37173
"NDS32","NDS32",4310
"NETWORK","MIPS",43030
"NETWORK","MIPS JZ4780",1939
"NETWORK","MIPS MSCC",13475
"NETWORK","MIPS Octeon",11395
"NETWORK","NETWORK",138060
"NIOS","NIOS",3367
"ONENAND","ONENAND",3902
"PATMAN","PATMAN",7963
"PCI Endpoint","PCI Endpoint",1344
"PCI MPC85xx","PCI MPC85xx",159
"POWERPC","POWERPC",64436
"POWERPC","POWERPC MPC83XX",17568
"POWERPC","POWERPC MPC85XX",16578
"POWERPC","POWERPC MPC86XX",2759
"POWERPC","POWERPC MPC8XX",2150
"RISC-V","RISC-V",9644
"SANDBOX","SANDBOX",8612
"SH","SH",7313
"SPI","ARM BROADCOM BCMSTB",1050
"SPI","ARM CORTINA ACCESS CAxxxx",1902
"SPI","ARM IPQ40XX",1936
"SPI","I2C",23323
"SPI","MIPS CORTINA ACCESS CAxxxx",1902
"SPI","RNG",1000
"SPI","SPI",29542
"SPI","SPI-NOR",6587
"SPMI","SPMI",468
"SQUASHFS","SQUASHFS",2755
"TEE","TEE",3545
"TEE-lib","TEE-lib",252
"TQ GROUP","TQ GROUP",0
"UFS","UFS",3408
"USB","DFU",35630
"USB","ROCKUSB",1063
"USB","USB",106598
"USB","USB xHCI",6833
"VIDEO","ARM NEXELL S5P4418",17379
"VIDEO","MALI DISPLAY PROCESSORS",690
"VIDEO","TDA19988 HDMI ENCODER",655
"VIDEO","VIDEO",81249
"X86","X86",100293
"XTENSA","XTENSA",5496
