"c_representative","c_section","c_size"
"ACPI:","ACPI:",7094
"ALIST:","ALIST:",1066
"ANDROID AB","ANDROID AB",667
"ANDROID AVB","ANDROID AVB",9128
"APPLE M1 SOC SUPPORT","APPLE M1 SOC SUPPORT",3291
"APPLE M1 SOC SUPPORT","NVMe",2509
"ARC","ARC",7352
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",211
"ARC HSDK RESET","ARC HSDK RESET",109
"ARM","ARM",937346
"ARM","ARM ALTERA SOCFPGA",35927
"ARM","ARM BROADCOM BCM283X / BCM27XX",10436
"ARM","ARM FREESCALE IMX",257276
"ARM","ARM HISILICON",1295
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",79014
"ARM","ARM MARVELL PXA1908",165
"ARM","ARM METHODE SUPPORT",557
"ARM","ARM MICROCHIP/ATMEL AT91",40593
"ARM","ARM MSC SM2S IMX8MP SOM",3251
"ARM","ARM PHYTIUM",229
"ARM","ARM SAMSUNG",19376
"ARM","ARM SANCLOUD",333
"ARM","ARM SC5XX",9369
"ARM","ARM SUNXI",33066
"ARM","ARM TEGRA",85289
"ARM","ARM TI",231215
"ARM","ARM U8500",2916
"ARM","ARM UNIPHIER",33304
"ARM","CAAM",4531
"ARM","OUT4-IMX6ULL-NANO BOARD",910
"ARM","TARGET_BCMNS3",4214
"ARM","TI SYSTEM SECURITY",1975
"ARM","XEN",7077
"ARM LAYERSCAPE SFP","ARM LAYERSCAPE SFP",348
"ARM MARVELL PCIE CONTROLLER DRIVERS","ARM MARVELL PCIE CONTROLLER DRIVERS",1844
"ARM MARVELL SERIAL DRIVERS","ARM MARVELL SERIAL DRIVERS",360
"ARM RENESAS RMOBILE/R-CAR","ARC SYNOPSYS DW MMC EXTENSIONS",235
"ARM RENESAS RMOBILE/R-CAR","ARM RENESAS RMOBILE/R-CAR",100791
"ARM RENESAS RMOBILE/R-CAR","ARM STI",1477
"ARM RENESAS RMOBILE/R-CAR","ENVIRONMENT",12249
"ARM RENESAS RMOBILE/R-CAR","MMC",74625
"ARM SAMSUNG SOC DRIVERS","ARM SAMSUNG SOC DRIVERS",432
"ARM VERSAL","ARM VERSAL",10505
"ARM VERSAL","ARM VERSAL NET",2478
"ARM VERSAL","UFS",6027
"ARM ZYNQ","ARM ZYNQ",167732
"ARM ZYNQ","ARM ZYNQMP",84436
"ARM ZYNQ","ARM ZYNQMP R5",66
"ARM ZYNQ","BINMAN",43806
"ARM ZYNQ","FPGA",6905
"ARM ZYNQ","MICROBLAZE",125923
"BOOTSTD","BOOTMETH_ANDROID",695
"BOOTSTD","BOOTSTD",14279
"BOOTSTD","UPL",2664
"BTRFS","BTRFS",9573
"BUILDMAN","BUILDMAN",16678
"CAT","CAT",70
"CFI FLASH","CFI FLASH",3021
"COLDFIRE","COLDFIRE",19591
"COLDFIRE","FREESCALE QORIQ",279
"COLDFIRE","SL28CLPD",376
"COLDFIRE","WATCHDOG",8057
"CPU","CPU",131
"CYCLIC","CYCLIC",325
"DEVICETREE REBASING SUBTREE","ARC HSDK CGU CLOCK",857
"DEVICETREE REBASING SUBTREE","ARM AMLOGIC SOC SUPPORT",76630
"DEVICETREE REBASING SUBTREE","ARM ASPEED",90291
"DEVICETREE REBASING SUBTREE","ARM BROADCOM BCMBCA",8962
"DEVICETREE REBASING SUBTREE","ARM MEDIATEK",146289
"DEVICETREE REBASING SUBTREE","ARM OWL",948
"DEVICETREE REBASING SUBTREE","ARM ROCKCHIP",313569
"DEVICETREE REBASING SUBTREE","ARM SAMSUNG CLOCK",586
"DEVICETREE REBASING SUBTREE","ARM SAMSUNG EXYNOS850 SOC",976
"DEVICETREE REBASING SUBTREE","ARM SNAPDRAGON",451958
"DEVICETREE REBASING SUBTREE","ARM STM STM32MP",108500
"DEVICETREE REBASING SUBTREE","ARM VERSATILE EXPRESS DRIVERS",5837
"DEVICETREE REBASING SUBTREE","CLOCK",112477
"DEVICETREE REBASING SUBTREE","DEVICETREE REBASING SUBTREE",2640726
"DEVICETREE REBASING SUBTREE","POWER",35943
"DEVICETREE REBASING SUBTREE","RISC-V CANAAN KENDRYTE K210",2236
"DEVICETREE REBASING SUBTREE","UBI",16696
"DRIVER MODEL","ARM FF-A",3300
"DRIVER MODEL","BLKMAP",1262
"DRIVER MODEL","DRIVER MODEL",44710
"DRIVER MODEL","I3C",3823
"DRIVER MODEL","NVMXIP",552
"DRIVER MODEL","PCI Endpoint",1749
"DRIVER MODEL","SANDBOX",25374
"DRIVER MODEL","SCMI",11529
"DRIVER MODEL","SPMI",635
"DRIVER MODEL","TEE",5688
"DRIVER MODEL","TPM DRIVERS",14360
"DRIVER MODEL","VirtIO",5472
"EFI LOADER","EFI CLIENT",1932
"EFI LOADER","EFI LOADER",73494
"ENVIRONMENT AS TEXT","ENVIRONMENT AS TEXT",685
"EROFS","EROFS",3098
"EVENTS","EVENTS",922
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",5716
"FREEBSD","FREEBSD",0
"FWU Multi Bank Update","FWU Multi Bank Update",2706
"GATEWORKS_SC","GATEWORKS_SC",658
"KWBIMAGE / KWBOOT TOOLS","KWBIMAGE / KWBOOT TOOLS",5778
"LED","LED",211
"LOGGING","LOGGING",3521
"MBEDTLS","MBEDTLS",629739
"MEMBUF","MEMBUF",640
"MIPS","MIPS",196410
"MIPS","MIPS JZ4780",1929
"MIPS","MIPS MEDIATEK",11210
"MIPS","MIPS Octeon",159988
"NETWORK","ARM CORTINA ACCESS CAxxxx",5245
"NETWORK","MIPS CORTINA ACCESS CAxxxx",3518
"NETWORK","MIPS MSCC",13894
"NETWORK","NETWORK",161688
"NETWORK","NETWORK (LWIP)",2615
"NETWORK","NXP C45 TJA11XX PHY DRIVER",378
"NETWORK","RAW NAND",50796
"NIOS","NIOS",3372
"NVMEM","NVMEM",343
"ONENAND","ONENAND",3895
"PATMAN","PATMAN",15409
"PCI MPC85xx","PCI MPC85xx",203
"PCI MPS","PCI MPS",190
"PCIe DWC IMX","PCIe DWC IMX",960
"POWERPC","POWERPC",55383
"POWERPC","POWERPC MPC83XX",12859
"POWERPC","POWERPC MPC85XX",14490
"POWERPC","POWERPC MPC8XX",2239
"RISC-V","RISC-V",18468
"RISC-V","RISC-V T-HEAD TH1520",3142
"RISC-V","SEMIHOSTING",1060
"RNG","RNG",3302
"RNG","SMCCC TRNG",202
"SEAMA","SEAMA",275
"SETEXPR","SETEXPR",647
"SH","SH",6869
"SLRE","SLRE",909
"SPI","ARM BROADCOM BCMSTB",978
"SPI","ARM HPE GXP ARCHITECTURE",830
"SPI","ARM IPQ40XX",1735
"SPI","ASPEED FMC SPI DRIVER",1214
"SPI","SPI",43953
"SPI","SPI-NOR",9536
"SPI NAND","SPI NAND",5668
"SQUASHFS","SQUASHFS",3187
"STACKPROTECTOR","STACKPROTECTOR",66
"TEE-lib","TEE-lib",226
"TI LP5562 LED DRIVER","TI LP5562 LED DRIVER",575
"TQ GROUP","TQ GROUP",0
"UFETCH","UFETCH",234
"USB","DFU",47966
"USB","FASTBOOT",4687
"USB","ROCKUSB",1062
"USB","USB",113262
