"c_representative","c_section","c_size"
"ACPI:","ACPI:",7108
"ALIST:","ALIST:",1066
"ANDROID AB","ANDROID AB",667
"ANDROID AVB","ANDROID AVB",9128
"APPLE M1 SOC SUPPORT","APPLE M1 SOC SUPPORT",3291
"APPLE M1 SOC SUPPORT","NVMe",2509
"ARC","ARC",7352
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",211
"ARC HSDK RESET","ARC HSDK RESET",109
"ARM","ARM",959651
"ARM","ARM ALTERA SOCFPGA",36246
"ARM","ARM BROADCOM BCM283X / BCM27XX",10563
"ARM","ARM FREESCALE IMX",271017
"ARM","ARM HISILICON",1295
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",79015
"ARM","ARM MARVELL PXA1908",165
"ARM","ARM METHODE SUPPORT",557
"ARM","ARM MICROCHIP/ATMEL AT91",40603
"ARM","ARM MSC SM2S IMX8MP SOM",3251
"ARM","ARM PHYTIUM",229
"ARM","ARM SAMSUNG",19391
"ARM","ARM SANCLOUD",333
"ARM","ARM SC5XX",13087
"ARM","ARM SUNXI",33112
"ARM","ARM TEGRA",85420
"ARM","ARM TI",233552
"ARM","ARM U8500",2916
"ARM","ARM UNIPHIER",33310
"ARM","CAAM",4531
"ARM","EXTENSION",582
"ARM","OUT4-IMX6ULL-NANO BOARD",910
"ARM","TARGET_BCMNS3",4207
"ARM","TI SYSTEM SECURITY",1969
"ARM","XEN",7077
"ARM LAYERSCAPE SFP","ARM LAYERSCAPE SFP",348
"ARM MARVELL PCIE CONTROLLER DRIVERS","ARM MARVELL PCIE CONTROLLER DRIVERS",1844
"ARM MARVELL SERIAL DRIVERS","ARM MARVELL SERIAL DRIVERS",360
"ARM RENESAS RMOBILE/R-CAR","ARC SYNOPSYS DW MMC EXTENSIONS",235
"ARM RENESAS RMOBILE/R-CAR","ARM RENESAS RMOBILE/R-CAR",107016
"ARM RENESAS RMOBILE/R-CAR","ARM STI",1477
"ARM RENESAS RMOBILE/R-CAR","ENVIRONMENT",12286
"ARM RENESAS RMOBILE/R-CAR","MMC",75015
"ARM SAMSUNG SOC DRIVERS","ARM SAMSUNG SOC DRIVERS",435
"ARM ZYNQ","ARM VERSAL",11008
"ARM ZYNQ","ARM VERSAL NET",2926
"ARM ZYNQ","ARM ZYNQ",169269
"ARM ZYNQ","ARM ZYNQMP",85968
"ARM ZYNQ","ARM ZYNQMP R5",66
"ARM ZYNQ","BINMAN",44803
"ARM ZYNQ","FPGA",6905
"ARM ZYNQ","MICROBLAZE",127942
"BOOTSTD","BOOTMETH_ANDROID",732
"BOOTSTD","BOOTSTD",14391
"BOOTSTD","UPL",2664
"BTRFS","BTRFS",9573
"BUILDMAN","BUILDMAN",16678
"CAT","CAT",70
"CFI FLASH","CFI FLASH",3021
"COLDFIRE","COLDFIRE",19593
"COLDFIRE","FREESCALE QORIQ",279
"COLDFIRE","SL28CLPD",376
"COLDFIRE","WATCHDOG",8187
"CPU","CPU",131
"CYCLIC","CYCLIC",325
"DEVICETREE REBASING SUBTREE","ARC HSDK CGU CLOCK",857
"DEVICETREE REBASING SUBTREE","ARM AMLOGIC SOC SUPPORT",80098
"DEVICETREE REBASING SUBTREE","ARM ASPEED",91969
"DEVICETREE REBASING SUBTREE","ARM BROADCOM BCMBCA",8962
"DEVICETREE REBASING SUBTREE","ARM MEDIATEK",161251
"DEVICETREE REBASING SUBTREE","ARM OWL",948
"DEVICETREE REBASING SUBTREE","ARM ROCKCHIP",319363
"DEVICETREE REBASING SUBTREE","ARM SAMSUNG CLOCK",704
"DEVICETREE REBASING SUBTREE","ARM SAMSUNG EXYNOS850 SOC",977
"DEVICETREE REBASING SUBTREE","ARM SNAPDRAGON",474720
"DEVICETREE REBASING SUBTREE","ARM STM STM32MP",111096
"DEVICETREE REBASING SUBTREE","ARM VERSATILE EXPRESS DRIVERS",5837
"DEVICETREE REBASING SUBTREE","CLOCK",117150
"DEVICETREE REBASING SUBTREE","DEVICETREE REBASING SUBTREE",2703236
"DEVICETREE REBASING SUBTREE","POWER",36565
"DEVICETREE REBASING SUBTREE","RISC-V CANAAN KENDRYTE K210",2236
"DEVICETREE REBASING SUBTREE","UBI",16696
"DEVICETREE REBASING SUBTREE","UFS",7468
"DRIVER MODEL","ARM FF-A",3301
"DRIVER MODEL","BLKMAP",1262
"DRIVER MODEL","DRIVER MODEL",44985
"DRIVER MODEL","I3C",3824
"DRIVER MODEL","INTERCONNECT:",4130
"DRIVER MODEL","NVMXIP",552
"DRIVER MODEL","PCI Endpoint",1778
"DRIVER MODEL","SANDBOX",25844
"DRIVER MODEL","SCMI",11659
"DRIVER MODEL","SPMI",650
"DRIVER MODEL","TEE",5688
"DRIVER MODEL","TPM DRIVERS",14382
"DRIVER MODEL","VirtIO",5472
"EFI LOADER","EFI CLIENT",1931
"EFI LOADER","EFI LOADER",73480
"ENVIRONMENT AS TEXT","ENVIRONMENT AS TEXT",685
"EROFS","EROFS",3101
"EVENTS","EVENTS",922
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",5720
"FREEBSD","FREEBSD",0
"FWU Multi Bank Update","FWU Multi Bank Update",2706
"GATEWORKS_SC","GATEWORKS_SC",658
"I2C","ASPEED AST2600 I2C DRIVER",365
"I2C","I2C",28868
"I2C","MALI DISPLAY PROCESSORS",276
"KWBIMAGE / KWBOOT TOOLS","KWBIMAGE / KWBOOT TOOLS",5778
"LED","LED",211
"LOGGING","LOGGING",3521
"MBEDTLS","MBEDTLS",629739
"MEMBUF","MEMBUF",640
"MIPS","MIPS",196416
"MIPS","MIPS JZ4780",1929
"MIPS","MIPS MEDIATEK",11210
"MIPS","MIPS Octeon",159988
"NETWORK","ARM CORTINA ACCESS CAxxxx",5245
"NETWORK","MIPS CORTINA ACCESS CAxxxx",3518
"NETWORK","MIPS MSCC",13895
"NETWORK","NETWORK",163607
"NETWORK","NETWORK (LWIP)",2914
"NETWORK","NXP C45 TJA11XX PHY DRIVER",378
"NETWORK","RAW NAND",50801
"NIOS","NIOS",3374
"NVMEM","NVMEM",348
"ONENAND","ONENAND",3895
"PATMAN","PATMAN",15403
"PCI MPC85xx","PCI MPC85xx",203
"PCI MPS","PCI MPS",190
"PCIe DWC IMX","PCIe DWC IMX",960
"POWERPC","POWERPC",55422
"POWERPC","POWERPC MPC83XX",12857
"POWERPC","POWERPC MPC85XX",14492
"POWERPC","POWERPC MPC8XX",2239
"RISC-V","RISC-V",18692
"RISC-V","RISC-V T-HEAD TH1520",3142
"RISC-V","SEMIHOSTING",1060
"RNG","RNG",3302
"RNG","SMCCC TRNG",202
"SEAMA","SEAMA",275
"SETEXPR","SETEXPR",647
"SH","SH",6870
"SLRE","SLRE",909
"SM3","SM3",395
"SPI","ARM BROADCOM BCMSTB",978
"SPI","ARM HPE GXP ARCHITECTURE",830
"SPI","ARM IPQ40XX",1735
"SPI","ASPEED FMC SPI DRIVER",1214
"SPI","SPI",45112
"SPI","SPI-NOR",9543
"SPI NAND","SPI NAND",5746
"SQUASHFS","SQUASHFS",3191
"STACKPROTECTOR","STACKPROTECTOR",66
"TEE-lib","TEE-lib",245
"TI LP5562 LED DRIVER","TI LP5562 LED DRIVER",575
"TQ GROUP","TQ GROUP",0
"UFETCH","UFETCH",234
"USB","DFU",48122
"USB","FASTBOOT",4881
"USB","ROCKUSB",1062
"USB","USB",110041
"USB","USB TCPM",4947
"USB","USB xHCI",7079
"UTHREAD","UTHREAD",719
"UUID testing","UUID testing",161
"VBE","VBE",1991
"VIDEO","ARM NEXELL S5P4418",17326
"VIDEO","TDA19988 HDMI ENCODER",654
"VIDEO","VIDEO",103782
"X86","X86",102038
"XTENSA","XTENSA",5708
"XXD","XXD",135
