"c_representative","c_section","c_size"
"ACPI:","ACPI:",3217
"ANDROID AB","ANDROID AB",257
"ANDROID AVB","ANDROID AVB",9060
"APPLE M1 SOC SUPPORT","APPLE M1 SOC SUPPORT",3002
"APPLE M1 SOC SUPPORT","NVMe",2509
"ARC","ARC",7371
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",212
"ARC HSDK RESET","ARC HSDK RESET",127
"ARM","ARM",1098160
"ARM","ARM ALTERA SOCFPGA",11750
"ARM","ARM AMLOGIC SOC SUPPORT",55866
"ARM","ARM BROADCOM BCM283X / BCM27XX",7961
"ARM","ARM BROADCOM BCMBCA",5347
"ARM","ARM FREESCALE IMX",270508
"ARM","ARM HISILICON",1301
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",61899
"ARM","ARM METHODE SUPPORT",512
"ARM","ARM MICROCHIP/ATMEL AT91",41662
"ARM","ARM MSC SM2S IMX8MP SOM",3245
"ARM","ARM PHYTIUM",230
"ARM","ARM ROCKCHIP",185034
"ARM","ARM SAMSUNG",19342
"ARM","ARM SANCLOUD",333
"ARM","ARM STM STM32MP",69153
"ARM","ARM STM STV0991",720
"ARM","ARM SUNXI",29044
"ARM","ARM TEGRA",52071
"ARM","ARM TI",103774
"ARM","ARM U8500",2919
"ARM","ARM UNIPHIER",21968
"ARM","ARM VERSATILE EXPRESS DRIVERS",2462
"ARM","CAAM",4492
"ARM","OUT4-IMX6ULL-NANO BOARD",915
"ARM","POWER",32043
"ARM","TARGET_BCMNS3",4106
"ARM","TI SYSTEM SECURITY",2003
"ARM","UBI",16461
"ARM","XEN",7084
"ARM LAYERSCAPE SFP","ARM LAYERSCAPE SFP",350
"ARM MARVELL PCIE CONTROLLER DRIVERS","ARM MARVELL PCIE CONTROLLER DRIVERS",1844
"ARM MARVELL SERIAL DRIVERS","ARM MARVELL SERIAL DRIVERS",361
"ARM RENESAS RMOBILE/R-CAR","ARC HSDK CGU CLOCK",858
"ARM RENESAS RMOBILE/R-CAR","ARC SYNOPSYS DW MMC EXTENSIONS",232
"ARM RENESAS RMOBILE/R-CAR","ARM MEDIATEK",37243
"ARM RENESAS RMOBILE/R-CAR","ARM OWL",953
"ARM RENESAS RMOBILE/R-CAR","ARM RENESAS RMOBILE/R-CAR",98434
"ARM RENESAS RMOBILE/R-CAR","BOOTDEVICE",10786
"ARM RENESAS RMOBILE/R-CAR","CLOCK",85580
"ARM RENESAS RMOBILE/R-CAR","MMC",39373
"ARM RENESAS RMOBILE/R-CAR","RISC-V CANAAN KENDRYTE K210",2252
"ARM SNAPDRAGON","ARM SNAPDRAGON",4615
"ARM SNAPDRAGON","SPMI",525
"ARM VERSAL","ARM VERSAL",6444
"ARM VERSAL","ARM VERSAL NET",1345
"ARM ZYNQ","ARM ZYNQ",146360
"ARM ZYNQ","ARM ZYNQMP",69608
"ARM ZYNQ","ARM ZYNQMP R5",73
"ARM ZYNQ","BINMAN",39237
"ARM ZYNQ","FPGA",10092
"ARM ZYNQ","MICROBLAZE",109718
"BTRFS","BTRFS",9586
"BUILDMAN","BUILDMAN",15889
"CAT","CAT",70
"CFI FLASH","CFI FLASH",3024
"COLDFIRE","COLDFIRE",19906
"COLDFIRE","FREESCALE QORIQ",281
"COLDFIRE","SL28CLPD",379
"COLDFIRE","WATCHDOG",6911
"CYCLIC","CYCLIC",337
"DRIVER MODEL","ARM FF-A",3312
"DRIVER MODEL","BLKMAP",1142
"DRIVER MODEL","DRIVER MODEL",42408
"DRIVER MODEL","NVMXIP",563
"EFI PAYLOAD","EFI APP",1197
"EFI PAYLOAD","EFI PAYLOAD",66500
