"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",8087
"ARGO","ARGO",2662
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",86042
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMU",2917
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMUv3",2781
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",7827
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",3165
"Change Log","Change Log",127
"Continuous Integration (CI)","Continuous Integration (CI)",3339
"DEVICE TREE","DEVICE TREE",9331
"I/O EMULATION (IOREQ)","I/O EMULATION (IOREQ)",1734
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",7950
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",4967
"KCONFIG","KCONFIG",21127
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8443
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"RISCV","RISCV",135
"SCHEDULING","ARINC653 SCHEDULER",827
"SCHEDULING","CPU POOLS",1569
"SCHEDULING","RTDS SCHEDULER",1561
"SCHEDULING","SCHEDULING",15652
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",34358
"STUB DOMAINS","VTPM",12911
"TOOLSTACK","GDBSX DEBUGGER",2624
"TOOLSTACK","GOLANG BINDINGS",8129
"TOOLSTACK","HYPFS",1796
"TOOLSTACK","KDD DEBUGGER",2559
"TOOLSTACK","LIBS",122949
"TOOLSTACK","OCAML TOOLS",13485
"TOOLSTACK","PYTHON BINDINGS",6192
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",340362
"TOOLSTACK","XENSTORE",15302
"TOOLSTACK","XENTRACE",15370
"TOOLSTACK","XSM/FLASK",17154
"VPCI","VPCI",2334
"X86 ARCHITECTURE","ACPI",21491
"X86 ARCHITECTURE","AMD SVM",6604
"X86 ARCHITECTURE","EFI",7558
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",727
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",14812
"X86 ARCHITECTURE","KEXEC",435
"X86 ARCHITECTURE","POWER MANAGEMENT",5729
"X86 ARCHITECTURE","VM EVENT, MEM ACCESS and MONITOR",5184
"X86 ARCHITECTURE","X86 ARCHITECTURE",257731
"X86 ARCHITECTURE","X86 I/O EMULATION",4756
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",25481
"X86 ARCHITECTURE","X86 MEMORY PAGING",500
"X86 ARCHITECTURE","X86 MEMORY SHARING",2344
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10894
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",4171
