"c_representative","c_section","c_size"
"ACPI:","ACPI:",7041
"ALIST:","ALIST:",1066
"ANDROID AB","ANDROID AB",668
"ANDROID AVB","ANDROID AVB",9129
"ARC","ARC",7346
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",211
"ARC HSDK RESET","ARC HSDK RESET",126
"ARM","APPLE M1 SOC SUPPORT",2990
"ARM","ARM",940333
"ARM","ARM ALTERA SOCFPGA",12243
"ARM","ARM BROADCOM BCM283X / BCM27XX",10435
"ARM","ARM FREESCALE IMX",268324
"ARM","ARM HISILICON",1295
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",78996
"ARM","ARM MARVELL PXA1908",325
"ARM","ARM METHODE SUPPORT",559
"ARM","ARM MICROCHIP/ATMEL AT91",41644
"ARM","ARM MSC SM2S IMX8MP SOM",3251
"ARM","ARM NEXELL S5P4418",17326
"ARM","ARM OWL",948
"ARM","ARM PHYTIUM",229
"ARM","ARM SAMSUNG",19376
"ARM","ARM SANCLOUD",333
"ARM","ARM SC5XX",6567
"ARM","ARM STM STM32MP",107484
"ARM","ARM SUNXI",29035
"ARM","ARM TEGRA",73071
"ARM","ARM TI",228914
"ARM","ARM U8500",2916
"ARM","ARM UNIPHIER",33318
"ARM","CAAM",4514
"ARM","ENVIRONMENT",11601
"ARM","NVMe",2506
"ARM","OUT4-IMX6ULL-NANO BOARD",910
"ARM","RNG",3212
"ARM","SEMIHOSTING",1057
"ARM","SMCCC TRNG",202
"ARM","TARGET_BCMNS3",4198
"ARM","TDA19988 HDMI ENCODER",654
"ARM","TI SYSTEM SECURITY",1984
"ARM","UBI",16697
"ARM","VIDEO",94649
"ARM","XEN",7077
"ARM LAYERSCAPE SFP","ARM LAYERSCAPE SFP",348
"ARM MARVELL PCIE CONTROLLER DRIVERS","ARM MARVELL PCIE CONTROLLER DRIVERS",1842
"ARM MARVELL SERIAL DRIVERS","ARM MARVELL SERIAL DRIVERS",360
