from,to,lines,size
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3212,94834
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3212,94834
3CR990 NETWORK DRIVER,THE REST,3212,94834
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8130,273402
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8130,273402
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8130,273402
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4386,124818
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4386,124818
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4386,124818
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4386,124818
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),6LOWPAN GENERIC (BTLE/IEEE 802.15.4),3222,90003
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),DOCUMENTATION,53,1542
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),NETWORKING [GENERAL],3222,90003
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),THE REST,3222,90003
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,980,23898
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,980,23898
6PACK NETWORK DRIVER FOR AX.25,THE REST,980,23898
802.11 (including CFG80211/NL80211),802.11 (including CFG80211/NL80211),77053,2356599
802.11 (including CFG80211/NL80211),DOCUMENTATION,387,11050
802.11 (including CFG80211/NL80211),NETWORKING [GENERAL],62629,1802434
802.11 (including CFG80211/NL80211),THE REST,77053,2356599
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,6920,183357
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,6920,183357
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,6920,183357
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,221,7383
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,221,7383
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",13328,393917
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,858,20408
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,13328,393917
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,13328,393917
9P FILE SYSTEM,9P FILE SYSTEM,14833,369431
9P FILE SYSTEM,DOCUMENTATION,221,8066
9P FILE SYSTEM,NETWORKING [GENERAL],7958,196413
9P FILE SYSTEM,THE REST,14833,369431
9P FILE SYSTEM,TRACING,222,6261
9P FILE SYSTEM,VIRTIO CORE AND NET DRIVERS,44,2052
A64FX DIAG DRIVER,A64FX DIAG DRIVER,151,3645
A64FX DIAG DRIVER,THE REST,151,3645
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,307,6417
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),307,6417
A8293 MEDIA DRIVER,THE REST,307,6417
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,16766,462477
AACRAID SCSI RAID DRIVER,DOCUMENTATION,177,7088
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,16589,455389
AACRAID SCSI RAID DRIVER,THE REST,16766,462477
AB8500 BATTERY AND CHARGER DRIVERS,AB8500 BATTERY AND CHARGER DRIVERS,10728,297149
AB8500 BATTERY AND CHARGER DRIVERS,OPEN FIRMWARE AND FLATTENED DEVICE TREE BINDINGS,326,8190
AB8500 BATTERY AND CHARGER DRIVERS,POWER SUPPLY CLASS/SUBSYSTEM and DRIVERS,10728,297149
AB8500 BATTERY AND CHARGER DRIVERS,THE REST,10728,297149
ABI/API,ABI/API,1658,65329
ABI/API,THE REST,1658,65329
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER","ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",1630,53035
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",HARDWARE MONITORING,1630,53035
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",THE REST,1630,53035
ABIT UGURU 3 HARDWARE MONITOR DRIVER,ABIT UGURU 3 HARDWARE MONITOR DRIVER,1302,41025
ABIT UGURU 3 HARDWARE MONITOR DRIVER,HARDWARE MONITORING,1302,41025
ABIT UGURU 3 HARDWARE MONITOR DRIVER,THE REST,1302,41025
ACCES 104-DIO-48E GPIO DRIVER,ACCES 104-DIO-48E GPIO DRIVER,342,10589
ACCES 104-DIO-48E GPIO DRIVER,GPIO SUBSYSTEM,342,10589
ACCES 104-DIO-48E GPIO DRIVER,THE REST,342,10589
ACCES 104-IDI-48 GPIO DRIVER,ACCES 104-IDI-48 GPIO DRIVER,189,6524
