filename,lines,sections
.get_maintainer.ignore,1,"""THE REST"""
.gitignore,114,"""THE REST"""
.mailmap,150,"""THE REST"""
COPYING,356,"""THE REST"""
CREDITS,4111,"""THE REST"""
Documentation/00-INDEX,489,"""DOCUMENTATION"",""THE REST"""
Documentation/ABI/README,87,"""THE REST"""
Documentation/ABI/obsolete/proc-sys-vm-nr_pdflush_threads,5,"""THE REST"""
Documentation/ABI/obsolete/sysfs-block-zram,119,"""THE REST"""
Documentation/ABI/obsolete/sysfs-bus-usb,31,"""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-arvo,53,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-isku,153,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-koneplus,145,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-konepure,105,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-kovaplus,116,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-lua,7,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-pyra,123,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-ryos,178,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-driver-hid-roccat-savu,77,"""ROCCAT DRIVERS"",""THE REST"""
Documentation/ABI/obsolete/sysfs-gpio,30,"""GPIO SUBSYSTEM"",""THE REST"""
Documentation/ABI/removed/devfs,12,"""THE REST"""
Documentation/ABI/removed/dv1394,14,"""THE REST"""
Documentation/ABI/removed/ip_queue,9,"""THE REST"""
Documentation/ABI/removed/net_dma,8,"""THE REST"""
Documentation/ABI/removed/o2cb,10,"""THE REST"""
Documentation/ABI/removed/raw1394,15,"""THE REST"""
Documentation/ABI/removed/sysfs-class-rfkill,13,"""THE REST"""
Documentation/ABI/removed/video1394,16,"""THE REST"""
Documentation/ABI/stable/firewire-cdev,104,"""THE REST"""
Documentation/ABI/stable/o2cb,10,"""THE REST"""
Documentation/ABI/stable/syscalls,10,"""THE REST"""
Documentation/ABI/stable/sysfs-acpi-pmprofile,22,"""THE REST"""
Documentation/ABI/stable/sysfs-bus-firewire,133,"""THE REST"""
Documentation/ABI/stable/sysfs-bus-usb,140,"""THE REST"""
Documentation/ABI/stable/sysfs-bus-vmbus,43,"""Hyper-V CORE AND DRIVERS"",""THE REST"""
Documentation/ABI/stable/sysfs-bus-w1,11,"""THE REST"""
Documentation/ABI/stable/sysfs-bus-xen-backend,75,"""THE REST"""
Documentation/ABI/stable/sysfs-class-backlight,56,"""THE REST"""
Documentation/ABI/stable/sysfs-class-rfkill,88,"""THE REST"""
Documentation/ABI/stable/sysfs-class-tpm,185,"""THE REST"""
Documentation/ABI/stable/sysfs-class-ubi,221,"""THE REST"""
Documentation/ABI/stable/sysfs-class-udc,93,"""THE REST"""
Documentation/ABI/stable/sysfs-devices,10,"""THE REST"""
Documentation/ABI/stable/sysfs-devices-node,92,"""THE REST"""
Documentation/ABI/stable/sysfs-devices-system-cpu,25,"""THE REST"""
Documentation/ABI/stable/sysfs-devices-system-xen_memory,77,"""THE REST"""
Documentation/ABI/stable/sysfs-driver-ib_srp,189,"""THE REST"""
Documentation/ABI/stable/sysfs-driver-qla2xxx,8,"""THE REST"""
Documentation/ABI/stable/sysfs-driver-usb-usbtmc,62,"""THE REST"""
Documentation/ABI/stable/sysfs-driver-w1_ds28e04,15,"""THE REST"""
Documentation/ABI/stable/sysfs-driver-w1_ds28ea00,6,"""THE REST"""
Documentation/ABI/stable/sysfs-firmware-efi-vars,75,"""THE REST"""
Documentation/ABI/stable/sysfs-firmware-opal-dump,41,"""LINUX FOR POWERPC (32-BIT AND 64-BIT)"",""THE REST"""
Documentation/ABI/stable/sysfs-firmware-opal-elog,60,"""LINUX FOR POWERPC (32-BIT AND 64-BIT)"",""THE REST"""
Documentation/ABI/stable/sysfs-fs-orangefs,87,"""THE REST"""
Documentation/ABI/stable/sysfs-module,34,"""THE REST"""
Documentation/ABI/stable/sysfs-transport-srp,58,"""BROADCOM IPROC ARM ARCHITECTURE"",""THE REST"""
Documentation/ABI/stable/thermal-notification,4,"""THE REST"""
Documentation/ABI/stable/vdso,27,"""THE REST"""
Documentation/ABI/testing/configfs-iio,21,"""THE REST"""
Documentation/ABI/testing/configfs-rdma_cm,22,"""THE REST"""
Documentation/ABI/testing/configfs-spear-pcie-gadget,31,"""THE REST"""
Documentation/ABI/testing/configfs-stp-policy,48,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget,126,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-acm,8,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-ecm,16,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-eem,14,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-ffs,9,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-hid,11,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-loopback,8,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-mass-storage,31,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-midi,12,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-ncm,15,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-obex,9,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-phonet,8,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-printer,9,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-rndis,14,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-serial,9,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-sourcesink,14,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-subset,14,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-tcm,6,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-uac1,12,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-uac2,12,"""THE REST"""
Documentation/ABI/testing/configfs-usb-gadget-uvc,265,"""THE REST"""
Documentation/ABI/testing/debugfs-driver-genwqe,91,"""THE REST"""
Documentation/ABI/testing/debugfs-ec,20,"""THE REST"""
Documentation/ABI/testing/debugfs-ideapad,19,"""THE REST"""
Documentation/ABI/testing/debugfs-olpc,16,"""THE REST"""
Documentation/ABI/testing/debugfs-pfo-nx-crypto,45,"""THE REST"""
Documentation/ABI/testing/debugfs-pktcdvd,19,"""THE REST"""
Documentation/ABI/testing/dev-kmsg,110,"""THE REST"""
Documentation/ABI/testing/evm,23,"""THE REST"""
Documentation/ABI/testing/gpio-cdev,26,"""GPIO SUBSYSTEM"",""THE REST"""
Documentation/ABI/testing/ima_policy,98,"""THE REST"""
Documentation/ABI/testing/procfs-diskstats,22,"""THE REST"""
Documentation/ABI/testing/pstore,47,"""THE REST"""
Documentation/ABI/testing/sysfs-ata,110,"""THE REST"""
Documentation/ABI/testing/sysfs-block,237,"""THE REST"""
Documentation/ABI/testing/sysfs-block-bcache,156,"""THE REST"""
Documentation/ABI/testing/sysfs-block-dm,47,"""THE REST"""
Documentation/ABI/testing/sysfs-block-rssd,5,"""THE REST"""
Documentation/ABI/testing/sysfs-block-zram,177,"""THE REST"""
Documentation/ABI/testing/sysfs-bus-acpi,58,"""ACPI"",""THE REST"""
Documentation/ABI/testing/sysfs-bus-amba,20,"""THE REST"""
Documentation/ABI/testing/sysfs-bus-bcma,31,"""THE REST"""
Documentation/ABI/testing/sysfs-bus-coresight-devices-etb10,79,"""ARM/CORESIGHT FRAMEWORK AND DRIVERS"",""THE REST"""
Documentation/ABI/testing/sysfs-bus-coresight-devices-etm3x,322,"""ARM/CORESIGHT FRAMEWORK AND DRIVERS"",""THE REST"""
Documentation/ABI/testing/sysfs-bus-coresight-devices-etm4x,463,"""ARM/CORESIGHT FRAMEWORK AND DRIVERS"",""THE REST"""
Documentation/ABI/testing/sysfs-bus-coresight-devices-funnel,12,"""ARM/CORESIGHT FRAMEWORK AND DRIVERS"",""THE REST"""
Documentation/ABI/testing/sysfs-bus-coresight-devices-stm,53,"""ARM/CORESIGHT FRAMEWORK AND DRIVERS"",""THE REST"""
