from,to,lines,size
3C59X NETWORK DRIVER,3C59X NETWORK DRIVER,3816,120060
3C59X NETWORK DRIVER,DOCUMENTATION,459,15368
3C59X NETWORK DRIVER,NETWORKING DRIVERS,3357,104692
3C59X NETWORK DRIVER,NETWORKING [GENERAL],459,15368
3C59X NETWORK DRIVER,THE REST,3816,120060
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3212,94834
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3212,94834
3CR990 NETWORK DRIVER,THE REST,3212,94834
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8130,273455
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8130,273455
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8130,273455
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4386,124809
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4386,124809
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4386,124809
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4386,124809
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),6LOWPAN GENERIC (BTLE/IEEE 802.15.4),3222,90008
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),DOCUMENTATION,53,1542
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),NETWORKING [GENERAL],3222,90008
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),THE REST,3222,90008
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,980,23905
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,980,23905
6PACK NETWORK DRIVER FOR AX.25,THE REST,980,23905
802.11 (including CFG80211/NL80211),802.11 (including CFG80211/NL80211),74419,2270311
802.11 (including CFG80211/NL80211),DOCUMENTATION,387,11053
802.11 (including CFG80211/NL80211),NETWORKING [GENERAL],60709,1742035
802.11 (including CFG80211/NL80211),THE REST,74419,2270311
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,6857,181820
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,6857,181820
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,6857,181820
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,195,6670
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,195,6670
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",13370,395679
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,858,20408
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,13370,395679
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,13370,395679
9P FILE SYSTEM,9P FILE SYSTEM,14811,367693
9P FILE SYSTEM,DOCUMENTATION,195,6777
9P FILE SYSTEM,NETWORKING [GENERAL],7903,194016
9P FILE SYSTEM,THE REST,14811,367693
9P FILE SYSTEM,TRACING,222,6261
9P FILE SYSTEM,VIRTIO CORE AND NET DRIVERS,44,2052
A64FX DIAG DRIVER,A64FX DIAG DRIVER,154,3678
A64FX DIAG DRIVER,THE REST,154,3678
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,156,3044
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),156,3044
A8293 MEDIA DRIVER,THE REST,156,3044
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,16728,461439
AACRAID SCSI RAID DRIVER,DOCUMENTATION,177,7088
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,16551,454351
AACRAID SCSI RAID DRIVER,THE REST,16728,461439
AB8500 BATTERY AND CHARGER DRIVERS,AB8500 BATTERY AND CHARGER DRIVERS,10767,298339
AB8500 BATTERY AND CHARGER DRIVERS,OPEN FIRMWARE AND FLATTENED DEVICE TREE BINDINGS,360,9268
AB8500 BATTERY AND CHARGER DRIVERS,POWER SUPPLY CLASS/SUBSYSTEM and DRIVERS,10767,298339
AB8500 BATTERY AND CHARGER DRIVERS,THE REST,10767,298339
ABI/API,ABI/API,1869,67291
ABI/API,THE REST,1869,67291
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER","ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",1632,53043
