"c_representative","c_section","c_size"
"ARC","ARC",6809
"ARC HSDK CGU CLOCK","ARC HSDK CGU CLOCK",796
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",210
"ARM","ARM",618072
"ARM","ARM ALTERA SOCFPGA",9777
"ARM","ARM FREESCALE IMX",80631
"ARM","ARM HISILICON",1140
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",47176
"ARM","ARM MARVELL PXA",4120
"ARM","ARM MICROCHIP/ATMEL AT91",14265
"ARM","ARM OWL",550
"ARM","ARM RENESAS RMOBILE/R-CAR",10401
"ARM","ARM ROCKCHIP",35586
"ARM","ARM SAMSUNG",19131
"ARM","ARM SNAPDRAGON",2831
"ARM","ARM STI",109
"ARM","ARM STM SPEAR",2379
"ARM","ARM STM STV0991",716
"ARM","ARM SUNXI",17911
"ARM","ARM TEGRA",27248
"ARM","ARM TI",14477
"ARM","ARM UNIPHIER",20054
"ARM","ARM VERSAL",375
"ARM","ARM VERSATILE EXPRESS DRIVERS",3900
"ARM","ARM/CZ.NIC TURRIS MOX SUPPORT",1798
"ARM","TI SYSTEM SECURITY",1801
"ARM ZYNQ","ARM BROADCOM BCMSTB",1010
"ARM ZYNQ","ARM ZYNQ",108808
"ARM ZYNQ","ARM ZYNQMP",30973
"ARM ZYNQ","ARM ZYNQMP R5",67
"ARM ZYNQ","FPGA",9512
"ARM ZYNQ","MICROBLAZE",91365
"ARM ZYNQ","NAND FLASH",37450
"ARM ZYNQ","SPI",24718
"ARM ZYNQ","SPI-NOR",6360
"BINMAN","BINMAN",9605
"BUILDMAN","BUILDMAN",9367
"CFI FLASH","CFI FLASH",2996
"COLDFIRE","COLDFIRE",24803
"EFI PAYLOAD","EFI PAYLOAD",34277
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",8393
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",127
"LOGGING","LOGGING",814
"NDS32","NDS32",4316
"NETWORK","MIPS",29259
"NETWORK","MIPS JZ4780",1921
"NETWORK","MIPS MSCC",13839
"NETWORK","NETWORK",112410
"NIOS","NIOS",3355
"ONENAND","ONENAND",3896
"PATMAN","PATMAN",4701
"POWERPC","POWERPC",55781
"POWERPC","POWERPC MPC83XX",17529
"POWERPC","POWERPC MPC85XX",16715
"POWERPC","POWERPC MPC86XX",2741
"POWERPC","POWERPC MPC8XX",2137
"RISC-V","RISC-V",5218
"SANDBOX","SANDBOX",6949
"SH","SH",7240
"SPMI","SPMI",467
"TEE","TEE",3326
"TQ GROUP","TQ GROUP",0
"UBI","UBI",16408
"USB","DFU",32956
"USB","ROCKUSB",1058
"USB","USB",89004
"USB","USB xHCI",6693
"VIDEO","ARC SYNOPSYS DW MMC EXTENSIONS",232
"VIDEO","ARM AMLOGIC SOC SUPPORT",26100
"VIDEO","ARM BROADCOM BCM283X",3237
"VIDEO","ARM MEDIATEK",12397
"VIDEO","ARM STM STM32MP",13623
"VIDEO","DRIVER MODEL",20777
"VIDEO","I2C",18742
"VIDEO","MALI DISPLAY PROCESSORS",685
"VIDEO","MMC",28105
"VIDEO","POWER",17078
"VIDEO","TDA19988 HDMI ENCODER",653
"VIDEO","VIDEO",68178
"X86","X86",79849
"XTENSA","XTENSA",5487
