"c_representative","c_section","c_size"
"ARGO","ARGO",2656
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",91997
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMU",2975
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM SMMUv3",2782
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","IMX8QM/QXP SUPPORT",394
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",7966
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",5966
"Change Log","Change Log",245
"Continuous Integration (CI)","Continuous Integration (CI)",7780
"Continuous Integration (CI)","ECLAIR",2643
"DEVICE TREE","DEVICE TREE",10603
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",5311
"KCONFIG","KCONFIG",21129
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PPC64","PPC64",5245
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8321
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"RISCV","RISCV",4161
"SCHEDULING","ARINC653 SCHEDULER",827
"SCHEDULING","CPU POOLS",1573
"SCHEDULING","RTDS SCHEDULER",1585
"SCHEDULING","SCHEDULING",15826
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",34970
"STUB DOMAINS","VTPM",12911
"TOOLSTACK","9PFSD",2469
"TOOLSTACK","GDBSX DEBUGGER",2670
"TOOLSTACK","GOLANG BINDINGS",8398
"TOOLSTACK","HYPFS",1797
"TOOLSTACK","KDD DEBUGGER",2560
"TOOLSTACK","LIBS",124489
"TOOLSTACK","OCAML TOOLS",10845
"TOOLSTACK","PYTHON BINDINGS",5902
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",340890
"TOOLSTACK","VPCI",3757
"TOOLSTACK","XENSTORE",15679
"TOOLSTACK","XSM/FLASK",17201
"X86 ARCHITECTURE","ACPI",21774
"X86 ARCHITECTURE","EFI",7668
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",694
"X86 ARCHITECTURE","KEXEC",427
"X86 ARCHITECTURE","POWER MANAGEMENT",6488
"X86 ARCHITECTURE","VM EVENT, MEM ACCESS and MONITOR",5669
"X86 ARCHITECTURE","X86 ARCHITECTURE",276887
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",25168
"X86 ARCHITECTURE","X86 MEMORY PAGING",488
"X86 ARCHITECTURE","X86 MEMORY SHARING",2341
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10654
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",4103
"XEN MISRA ANALYSIS TOOLS","XEN MISRA ANALYSIS TOOLS",2212
