"c_representative","c_section","c_size"
"ARM Machines - Calxeda Highbank","ARM Machines - Calxeda Highbank",769
"ARM Machines - Exynos","ARM Machines - Exynos",7513
"ARM Machines - Gumstix","ARM Machines - Gumstix",144
"ARM Machines - i.MX31","ARM Machines - i.MX31",2073
"ARM Machines - Integrator CP","ARM Machines - Integrator CP",563
"ARM Machines - Mainstone","ARM Machines - Mainstone",194
"ARM Machines - Musicpal","ARM Machines - Musicpal",1696
"ARM Machines - nSeries","ARM Machines - nSeries",1426
"ARM Machines - Palm","ARM Machines - Palm",289
"ARM Machines - Real View","ARM Machines - Real View",492
"ARM Machines - Spitz","ARM Machines - Spitz",1149
"ARM Machines - Stellaris","ARM Machines - Stellaris",1462
"ARM Machines - Versatile PB","ARM Machines - Versatile PB",411
"ARM Machines - Xilinx Zynq","ARM Machines - Xilinx Zynq",2927
"CRIS Machines - Axis Dev88","CRIS Machines - Axis Dev88",364
"CRIS Machines - etraxfs","CRIS Machines - etraxfs",0
"Devices - IDE","Devices - IDE",8826
"Devices - LSI53C895A","Devices - LSI53C895A",2141
"Devices - OMAP","Devices - OMAP",18111
"Devices - PCI","Devices - PCI",7957
"Devices - USB","Devices - USB",507
"Devices - vhost","Devices - vhost",1289
"Devices - virtio","Devices - SCSI",6233
"Devices - virtio","Devices - virtio",6989
"Devices - virtio","Devices - virtio-blk",781
"Devices - virtio","Devices - virtio-serial",1406
"Devices - virtio-9p","Devices - virtio-9p",11260
"Devices - Xilinx EDK","Devices - Xilinx EDK",2460
"Guest CPU cores (TCG): - Alpha","Guest CPU cores (TCG): - Alpha",6370
"Guest CPU cores (TCG): - ARM","Guest CPU cores (TCG): - ARM",19666
"Guest CPU cores (TCG): - CRIS","Guest CPU cores (TCG): - CRIS",7368
"Guest CPU cores (TCG): - LM32","Guest CPU cores (TCG): - LM32",2079
"Guest CPU cores (TCG): - M68K","Guest CPU cores (TCG): - M68K",5209
"Guest CPU cores (TCG): - MicroBlaze","Guest CPU cores (TCG): - MicroBlaze",3898
"Guest CPU cores (TCG): - MIPS","Guest CPU cores (TCG): - MIPS",19249
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - Overall",8781
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - PPC",1176
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - S390",534
"Guest CPU cores (TCG): - PowerPC","Guest CPU Cores (KVM): - X86",2070
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - PowerPC",33579
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - S390",11022
"Guest CPU cores (TCG): - PowerPC","Guest CPU cores (TCG): - X86",25814
"Guest CPU cores (TCG): - SH4","Guest CPU cores (TCG): - SH4",4395
"Guest CPU cores (TCG): - SPARC","Guest CPU cores (TCG): - SPARC",13400
"Guest CPU cores (TCG): - UniCore32","Guest CPU cores (TCG): - UniCore32",3807
"Guest CPU cores (TCG): - Xtensa","Guest CPU cores (TCG): - Xtensa",7610
"Guest CPU Cores (Xen): - X86","Guest CPU Cores (Xen): - X86",10742
"Hosts: - LINUX","Hosts: - LINUX",3037
"Hosts: - POSIX","Hosts: - POSIX",1547
"Hosts: - W32, W64","Hosts: - W32, W64",864
"LM32 Machines - EVR32 and uclinux BSP","LM32 Machines - EVR32 and uclinux BSP",309
"LM32 Machines - milkymist","LM32 Machines - milkymist",218
"M68K Machines - an5206","M68K Machines - an5206",96
"M68K Machines - dummy_m68k","M68K Machines - dummy_m68k",83
"M68K Machines - mcf5208","M68K Machines - mcf5208",302
"MicroBlaze Machines - petalogix_ml605","MicroBlaze Machines - petalogix_ml605",159
"MicroBlaze Machines - petalogix_s3adsp1800","MicroBlaze Machines - petalogix_s3adsp1800",0
