from,to,lines,size
ARM Machines - ARM ACPI Subsystem,ARM Machines - ARM ACPI Subsystem,859,31272
ARM Machines - ARM ACPI Subsystem,Devices - ACPI/SMBIOS,859,31272
ARM Machines - ARM ACPI Subsystem,General Project Administration - All patches CC here,859,31272
ARM Machines - ARM ACPI Subsystem,Guest CPU cores (TCG): - ARM,813,30027
ARM Machines - ARM PrimeCell,ARM Machines - ARM PrimeCell,5091,142290
ARM Machines - ARM PrimeCell,Devices - Character devices,345,8836
ARM Machines - ARM PrimeCell,General Project Administration - All patches CC here,5091,142290
ARM Machines - ARM cores,ARM Machines - ARM cores,9122,292106
ARM Machines - ARM cores,General Project Administration - All patches CC here,9122,292106
ARM Machines - Allwinner-a10,ARM Machines - Allwinner-a10,1597,47645
ARM Machines - Allwinner-a10,Devices - Network devices,535,15574
ARM Machines - Allwinner-a10,General Project Administration - All patches CC here,1597,47645
ARM Machines - Allwinner-a10,Guest CPU cores (TCG): - ARM,228,7305
ARM Machines - Calxeda Highbank,ARM Machines - Calxeda Highbank,873,28826
ARM Machines - Calxeda Highbank,Devices - Network devices,433,14809
ARM Machines - Calxeda Highbank,General Project Administration - All patches CC here,873,28826
ARM Machines - Calxeda Highbank,Guest CPU cores (TCG): - ARM,440,14017
ARM Machines - Canon DIGIC,ARM Machines - Canon DIGIC,692,18752
ARM Machines - Canon DIGIC,Devices - Character devices,201,4948
ARM Machines - Canon DIGIC,General Project Administration - All patches CC here,692,18752
ARM Machines - Canon DIGIC,Guest CPU cores (TCG): - ARM,285,8341
ARM Machines - Exynos,ARM Machines - Exynos,7603,250795
ARM Machines - Exynos,Devices - Character devices,678,19725
ARM Machines - Exynos,General Project Administration - All patches CC here,7603,250795
ARM Machines - Exynos,Guest CPU cores (TCG): - ARM,564,20102
ARM Machines - Gumstix,ARM Machines - Gumstix,159,4404
ARM Machines - Gumstix,General Project Administration - All patches CC here,159,4404
ARM Machines - Gumstix,Guest CPU cores (TCG): - ARM,159,4404
ARM Machines - Integrator CP,ARM Machines - Integrator CP,667,19759
ARM Machines - Integrator CP,General Project Administration - All patches CC here,667,19759
ARM Machines - Integrator CP,Guest CPU cores (TCG): - ARM,667,19759
ARM Machines - Musicpal,ARM Machines - Musicpal,1751,49057
ARM Machines - Musicpal,General Project Administration - All patches CC here,1751,49057
ARM Machines - Musicpal,Guest CPU cores (TCG): - ARM,1751,49057
ARM Machines - PXA2XX,ARM Machines - PXA2XX,9182,266607
ARM Machines - PXA2XX,General Project Administration - All patches CC here,9182,266607
ARM Machines - PXA2XX,Guest CPU cores (TCG): - ARM,5092,151496
ARM Machines - Palm,ARM Machines - Palm,280,9460
ARM Machines - Palm,General Project Administration - All patches CC here,280,9460
ARM Machines - Palm,Guest CPU cores (TCG): - ARM,280,9460
ARM Machines - Real View,ARM Machines - Real View,581,18211
ARM Machines - Real View,General Project Administration - All patches CC here,581,18211
ARM Machines - Real View,Guest CPU cores (TCG): - ARM,464,15036
ARM Machines - Stellaris,ARM Machines - Stellaris,2080,59177
ARM Machines - Stellaris,Devices - Network devices,514,14831
ARM Machines - Stellaris,General Project Administration - All patches CC here,2080,59177
ARM Machines - Stellaris,Guest CPU cores (TCG): - ARM,1478,42122
ARM Machines - Versatile PB,ARM Machines - Versatile PB,1107,34176
ARM Machines - Versatile PB,General Project Administration - All patches CC here,1107,34176
ARM Machines - Versatile PB,Guest CPU cores (TCG): - ARM,448,13660
ARM Machines - Xilinx Zynq,ARM Machines - Xilinx Zynq,3848,118008
ARM Machines - Xilinx Zynq,Devices - Character devices,551,15294
ARM Machines - Xilinx Zynq,Devices - Network devices,1280,42997
ARM Machines - Xilinx Zynq,Devices - Xilinx EDK,1065,34687
ARM Machines - Xilinx Zynq,Devices - Xilinx SPI,734,23112
ARM Machines - Xilinx Zynq,General Project Administration - All patches CC here,3848,118008
ARM Machines - Xilinx Zynq,Guest CPU cores (TCG): - ARM,331,11575
ARM Machines - Xilinx ZynqMP,ARM Machines - Xilinx ZynqMP,689,23354
ARM Machines - Xilinx ZynqMP,General Project Administration - All patches CC here,689,23354
ARM Machines - Xilinx ZynqMP,Guest CPU cores (TCG): - ARM,590,20279
ARM Machines - i.MX31,ARM Machines - i.MX31,6193,174294
ARM Machines - i.MX31,Devices - Character devices,368,9594
ARM Machines - i.MX31,Devices - Network devices,1231,33582
ARM Machines - i.MX31,Devices - SSI,455,12137
ARM Machines - i.MX31,General Project Administration - All patches CC here,6193,174294
ARM Machines - i.MX31,Guest CPU cores (TCG): - ARM,300,10674
ARM Machines - nSeries,ARM Machines - nSeries,1458,44177
ARM Machines - nSeries,General Project Administration - All patches CC here,1458,44177
ARM Machines - nSeries,Guest CPU cores (TCG): - ARM,1458,44177
Block drivers - ARCHIPELAGO,Block drivers - ARCHIPELAGO,1082,31789
Block drivers - ARCHIPELAGO,General Project Administration - All patches CC here,1082,31789
Block drivers - ARCHIPELAGO,Subsystems - Block layer core,1082,31789
Block drivers - Bootdevice,Block drivers - Bootdevice,342,9429
Block drivers - Bootdevice,General Project Administration - All patches CC here,342,9429
Block drivers - CURL,Block drivers - CURL,902,26559
Block drivers - CURL,General Project Administration - All patches CC here,902,26559
Block drivers - CURL,Subsystems - Block layer core,902,26559
Block drivers - GLUSTER,Block drivers - GLUSTER,1414,43815
