from,to,lines,size
ARM Machines - ARM ACPI Subsystem,ARM Machines - ARM ACPI Subsystem,800,29307
ARM Machines - ARM ACPI Subsystem,Devices - ACPI/SMBIOS,800,29307
ARM Machines - ARM ACPI Subsystem,General Project Administration - All patches CC here,800,29307
ARM Machines - ARM ACPI Subsystem,Guest CPU cores (TCG): - ARM,755,28087
ARM Machines - ARM PrimeCell,ARM Machines - ARM PrimeCell,5084,142206
ARM Machines - ARM PrimeCell,Devices - Character devices,343,8902
ARM Machines - ARM PrimeCell,General Project Administration - All patches CC here,5084,142206
ARM Machines - ARM cores,ARM Machines - ARM cores,5392,167976
ARM Machines - ARM cores,General Project Administration - All patches CC here,5392,167976
ARM Machines - Allwinner-a10,ARM Machines - Allwinner-a10,1593,47542
ARM Machines - Allwinner-a10,Devices - Network devices,534,15558
ARM Machines - Allwinner-a10,General Project Administration - All patches CC here,1593,47542
ARM Machines - Allwinner-a10,Guest CPU cores (TCG): - ARM,228,7305
ARM Machines - Calxeda Highbank,ARM Machines - Calxeda Highbank,874,28841
ARM Machines - Calxeda Highbank,Devices - Network devices,433,14815
ARM Machines - Calxeda Highbank,General Project Administration - All patches CC here,874,28841
ARM Machines - Calxeda Highbank,Guest CPU cores (TCG): - ARM,441,14026
ARM Machines - Canon DIGIC,ARM Machines - Canon DIGIC,687,18688
ARM Machines - Canon DIGIC,Devices - Character devices,198,4999
ARM Machines - Canon DIGIC,General Project Administration - All patches CC here,687,18688
ARM Machines - Canon DIGIC,Guest CPU cores (TCG): - ARM,283,8247
ARM Machines - Exynos,ARM Machines - Exynos,7601,250665
ARM Machines - Exynos,Devices - Character devices,678,19725
ARM Machines - Exynos,General Project Administration - All patches CC here,7601,250665
ARM Machines - Exynos,Guest CPU cores (TCG): - ARM,564,20102
ARM Machines - Gumstix,ARM Machines - Gumstix,159,4404
ARM Machines - Gumstix,General Project Administration - All patches CC here,159,4404
ARM Machines - Gumstix,Guest CPU cores (TCG): - ARM,159,4404
ARM Machines - Integrator CP,ARM Machines - Integrator CP,674,19914
ARM Machines - Integrator CP,General Project Administration - All patches CC here,674,19914
ARM Machines - Integrator CP,Guest CPU cores (TCG): - ARM,674,19914
